entity,category,modelname,correct,wrong,undefinied,documents
persons,random,DV-news400-llava_1_5_13b_answers,0.78,0.17,0.05,122
persons,country-sensitive,DV-news400-llava_1_5_13b_answers,0.66,0.33,0.01,122
persons,country-gender-sensitive,DV-news400-llava_1_5_13b_answers,0.67,0.3,0.03,122
persons,gender-sensitive,DV-news400-llava_1_5_13b_answers,0.78,0.19,0.03,122
locations,random,DV-news400-llava_1_5_13b_answers,0.99,0.01,0.0,67
locations,country-continent,DV-news400-llava_1_5_13b_answers,0.88,0.04,0.08,67
locations,region-country,DV-news400-llava_1_5_13b_answers,0.76,0.07,0.17,67
locations,city-region,DV-news400-llava_1_5_13b_answers,0.76,0.06,0.18,67
events,same_instance,DV-news400-llava_1_5_13b_answers,0.72,0.2,0.08,25
events,random,DV-news400-llava_1_5_13b_answers,0.88,0.12,0.0,25
