entity,category,modelname,correct,wrong,undefinied,documents
persons,random,llava_1_5_13b_answers,0.79,0.19,0.02,101
persons,country-sensitive,llava_1_5_13b_answers,0.82,0.14,0.04,101
persons,gender-sensitive,llava_1_5_13b_answers,0.8,0.19,0.01,101
persons,country-gender-sensitive,llava_1_5_13b_answers,0.79,0.2,0.01,101
locations,random,llava_1_5_13b_answers,0.87,0.09,0.04,100
locations,country-continent,llava_1_5_13b_answers,0.86,0.08,0.06,100
locations,city-region,llava_1_5_13b_answers,0.62,0.14,0.24,100
locations,region-country,llava_1_5_13b_answers,0.77,0.11,0.12,100
events,same_instance,llava_1_5_13b_answers,0.8,0.15,0.05,95
events,random,llava_1_5_13b_answers,0.82,0.17,0.01,95
