entity,category,modelname,correct,wrong,undefinied,documents
persons,random,DV-news400-blip_2_answers,0.57,0.37,0.06,122
persons,gender-sensitive,DV-news400-blip_2_answers,0.5,0.43,0.07,122
persons,country-gender-sensitive,DV-news400-blip_2_answers,0.39,0.5,0.11,122
persons,country-sensitive,DV-news400-blip_2_answers,0.51,0.43,0.06,122
locations,city-region,DV-news400-blip_2_answers,0.63,0.3,0.07,67
locations,random,DV-news400-blip_2_answers,0.64,0.25,0.11,67
locations,country-continent,DV-news400-blip_2_answers,0.64,0.24,0.12,67
locations,region-country,DV-news400-blip_2_answers,0.54,0.31,0.15,67
events,same_instance,DV-news400-blip_2_answers,0.6,0.28,0.12,25
events,random,DV-news400-blip_2_answers,0.64,0.36,0.0,25
