entity,category,modelname,correct,wrong,undefinied,documents
persons,random,llava_1_5_7b_answers,0.77,0.23,-0.0,1318
persons,gender-sensitive,llava_1_5_7b_answers,0.76,0.24,0.0,1318
persons,country-sensitive,llava_1_5_7b_answers,0.72,0.28,0.0,1318
persons,country-gender-sensitive,llava_1_5_7b_answers,0.72,0.28,0.0,1318
locations,random,llava_1_5_7b_answers,0.64,0.36,0.0,968
locations,country-continent,llava_1_5_7b_answers,0.63,0.37,0.0,968
locations,region-country,llava_1_5_7b_answers,0.57,0.43,0.0,968
locations,city-region,llava_1_5_7b_answers,0.55,0.45,-0.0,968
events,random,llava_1_5_7b_answers,0.78,0.22,-0.0,92
events,same_instance,llava_1_5_7b_answers,0.71,0.29,0.0,92
