entity,category,modelname,correct,wrong,undefinied,documents
city,region-country,llava_1_6_7b_answers,0.72,0.2,0.08,137
city,random,llava_1_6_7b_answers,0.72,0.22,0.06,137
city,city-region,llava_1_6_7b_answers,0.73,0.25,0.02,137
city,country-continent,llava_1_6_7b_answers,0.72,0.2,0.08,137
country,random,llava_1_6_7b_answers,0.9,0.07,0.03,199
country,city-region,llava_1_6_7b_answers,0.9,0.09,0.01,199
country,country-continent,llava_1_6_7b_answers,0.91,0.08,0.01,199
country,region-country,llava_1_6_7b_answers,0.9,0.1,-0.0,199
continent,city-region,llava_1_6_7b_answers,0.78,0.09,0.13,193
continent,region-country,llava_1_6_7b_answers,0.76,0.08,0.16,193
continent,random,llava_1_6_7b_answers,0.89,0.1,0.01,193
continent,country-continent,llava_1_6_7b_answers,0.74,0.09,0.17,193
