entity,category,modelname,correct,wrong,undefinied,documents
city,city-region,instructBlip_answers,0.89,0.09,0.02,137
city,region-country,instructBlip_answers,0.91,0.08,0.01,137
city,random,instructBlip_answers,0.85,0.14,0.01,137
city,country-continent,instructBlip_answers,0.88,0.1,0.02,137
country,region-country,instructBlip_answers,0.96,0.03,0.01,199
country,country-continent,instructBlip_answers,0.94,0.04,0.02,199
country,city-region,instructBlip_answers,0.94,0.04,0.02,199
country,random,instructBlip_answers,0.96,0.04,0.0,199
continent,region-country,instructBlip_answers,0.79,0.06,0.15,193
continent,random,instructBlip_answers,0.9,0.09,0.01,193
continent,city-region,instructBlip_answers,0.83,0.04,0.13,193
continent,country-continent,instructBlip_answers,0.78,0.04,0.18,193
