entity,category,modelname,correct,wrong,undefinied,documents
city,random,blip_2_answers,0.43,0.5,0.07,137
city,city-region,blip_2_answers,0.39,0.52,0.09,137
city,country-continent,blip_2_answers,0.42,0.53,0.05,137
city,region-country,blip_2_answers,0.38,0.53,0.09,137
country,country-continent,blip_2_answers,0.42,0.5,0.08,199
country,city-region,blip_2_answers,0.42,0.52,0.06,199
country,random,blip_2_answers,0.38,0.55,0.07,199
country,region-country,blip_2_answers,0.41,0.51,0.08,199
continent,region-country,blip_2_answers,0.48,0.29,0.23,193
continent,country-continent,blip_2_answers,0.45,0.29,0.26,193
continent,city-region,blip_2_answers,0.52,0.3,0.18,193
continent,random,blip_2_answers,0.56,0.35,0.09,193
