entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,llava_1_6_7b_answers,0.76,0.23,0.01,122
persons,country-gender-sensitive,llava_1_6_7b_answers,0.77,0.22,0.01,122
persons,random,llava_1_6_7b_answers,0.76,0.22,0.02,122
persons,gender-sensitive,llava_1_6_7b_answers,0.76,0.2,0.04,122
locations,region-country,llava_1_6_7b_answers,0.81,0.16,0.03,67
locations,country-continent,llava_1_6_7b_answers,0.91,0.06,0.03,67
locations,random,llava_1_6_7b_answers,0.9,0.09,0.01,67
locations,city-region,llava_1_6_7b_answers,0.81,0.16,0.03,67
events,random,llava_1_6_7b_answers,0.6,0.28,0.12,25
events,same_instance,llava_1_6_7b_answers,0.44,0.52,0.04,25
