entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,blip_2_answers,0.48,0.43,0.09,101
persons,gender-sensitive,blip_2_answers,0.39,0.52,0.09,101
persons,country-sensitive,blip_2_answers,0.38,0.49,0.13,101
persons,random,blip_2_answers,0.51,0.42,0.07,101
locations,random,blip_2_answers,0.49,0.39,0.12,100
locations,city-region,blip_2_answers,0.55,0.34,0.11,100
locations,region-country,blip_2_answers,0.5,0.31,0.19,100
locations,country-continent,blip_2_answers,0.48,0.36,0.16,100
events,random,blip_2_answers,0.57,0.37,0.06,95
events,same_instance,blip_2_answers,0.57,0.37,0.06,95
