entity,category,modelname,correct,wrong,undefinied,documents
persons,random,blip_2_answers,0.55,0.37,0.08,122
persons,gender-sensitive,blip_2_answers,0.5,0.44,0.06,122
persons,country-sensitive,blip_2_answers,0.51,0.43,0.06,122
persons,country-gender-sensitive,blip_2_answers,0.39,0.5,0.11,122
locations,random,blip_2_answers,0.64,0.25,0.11,67
locations,country-continent,blip_2_answers,0.66,0.22,0.12,67
locations,region-country,blip_2_answers,0.54,0.31,0.15,67
locations,city-region,blip_2_answers,0.63,0.3,0.07,67
events,random,blip_2_answers,0.64,0.36,0.0,25
events,same_instance,blip_2_answers,0.6,0.28,0.12,25
